pop	sample_set	country	year	location	species_gambiae_coluzzii	latitude	longitude	aim_fraction_colu	aim_fraction_arab	counts	chrom	sample_size	independent_comparisons	overall_r^2	expected_r^2	Ne_estimate	Parametric_CI_lower	Parametric_CI_upper	Jackknife_CI_lower	Jackknife_CI_upper
AG1000G-CD.Gbadolite.2015.gambiae	AG1000G-CD	Democratic Republic of Congo	2015	Gbadolite	gambiae	4.282999999999999	21.017000000000035	0.024776315789473667	0.0023552631578947388	76	X	76.0	45501027	0.016723	0.013710	108.5	108.3	108.8	70.9	199.3
AG1000G-CF.Bangui.1994.coluzzii	AG1000G-CF	Central African Republic	1994	Bangui	coluzzii	4.366999999999999	18.583	0.9584615384615384	0.002000000000000001	13	2L	13.0	48703514	0.096852	0.097841	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-CF.Bangui.1994.coluzzii	AG1000G-CF	Central African Republic	1994	Bangui	coluzzii	4.366999999999999	18.583	0.9584615384615384	0.002000000000000001	13	2R	13.0	48280051	0.096029	0.097841	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-CF.Bangui.1994.coluzzii	AG1000G-CF	Central African Republic	1994	Bangui	coluzzii	4.366999999999999	18.583	0.9584615384615384	0.002000000000000001	13	3L	13.0	48614730	0.095677	0.097841	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-CF.Bangui.1994.coluzzii	AG1000G-CF	Central African Republic	1994	Bangui	coluzzii	4.366999999999999	18.583	0.9584615384615384	0.002000000000000001	13	3R	13.0	48624591	0.095498	0.097841	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-CF.Bangui.1994.coluzzii	AG1000G-CF	Central African Republic	1994	Bangui	coluzzii	4.366999999999999	18.583	0.9584615384615384	0.002000000000000001	13	X	13.0	48960460	0.094570	0.097841	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-CF.Bangui.1994.gambiae	AG1000G-CF	Central African Republic	1994	Bangui	gambiae	4.366999999999996	18.582999999999977	0.025943396226415096	0.0021132075471698127	53	2L	53.0	44608731	0.021641	0.020004	201.5	200.4	202.6	144.6	321.7
AG1000G-CF.Bangui.1994.gambiae	AG1000G-CF	Central African Republic	1994	Bangui	gambiae	4.366999999999996	18.582999999999977	0.025943396226415096	0.0021132075471698127	53	2R	53.0	46008025	0.020064	0.020004	5508.0	4850.2	6371.5	3249.4	17913.3
AG1000G-CF.Bangui.1994.gambiae	AG1000G-CF	Central African Republic	1994	Bangui	gambiae	4.366999999999996	18.582999999999977	0.025943396226415096	0.0021132075471698127	53	3L	53.0	46894768	0.019981	0.020004	Infinite	Infinite	Infinite	10799.3	Infinite
AG1000G-CF.Bangui.1994.gambiae	AG1000G-CF	Central African Republic	1994	Bangui	gambiae	4.366999999999996	18.582999999999977	0.025943396226415096	0.0021132075471698127	53	3R	53.0	46672290	0.020004	0.020004	386180.5	37110.5	Infinite	14412.5	Infinite
AG1000G-CF.Bangui.1994.gambiae	AG1000G-CF	Central African Republic	1994	Bangui	gambiae	4.366999999999996	18.582999999999977	0.025943396226415096	0.0021132075471698127	53	X	53.0	46132815	0.019903	0.020004	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-CI.Tiassale.2012.coluzzii	AG1000G-CI	Cote d'Ivoire	2012	Tiassale	coluzzii	5.8980000000000095	-4.822999999999997	0.9666999999999997	0.0021500000000000017	80	2L	80.0	45720703	0.014814	0.012998	181.5	180.9	182.2	134.2	270.7
AG1000G-CI.Tiassale.2012.coluzzii	AG1000G-CI	Cote d'Ivoire	2012	Tiassale	coluzzii	5.8980000000000095	-4.822999999999997	0.9666999999999997	0.0021500000000000017	80	2R	80.0	45825948	0.013049	0.012998	6583.1	5954.1	7359.8	4114.5	16362.0
AG1000G-CI.Tiassale.2012.coluzzii	AG1000G-CI	Cote d'Ivoire	2012	Tiassale	coluzzii	5.8980000000000095	-4.822999999999997	0.9666999999999997	0.0021500000000000017	80	3L	80.0	46595028	0.012989	0.012998	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-CI.Tiassale.2012.coluzzii	AG1000G-CI	Cote d'Ivoire	2012	Tiassale	coluzzii	5.8980000000000095	-4.822999999999997	0.9666999999999997	0.0021500000000000017	80	3R	80.0	46219303	0.013000	0.012998	250151.3	50238.5	Infinite	27905.4	Infinite
AG1000G-CI.Tiassale.2012.coluzzii	AG1000G-CI	Cote d'Ivoire	2012	Tiassale	coluzzii	5.8980000000000095	-4.822999999999997	0.9666999999999997	0.0021500000000000017	80	X	80.0	45034795	0.013017	0.012998	17565.2	13685.4	24507.5	8809.2	2080893.0
AG1000G-CM-A.Daiguene.2009.gambiae	AG1000G-CM-A	Cameroon	2009	Daiguene	gambiae	4.776999999999991	13.84400000000003	0.025645833333333316	0.002041666666666668	96	2L	96.0	44006268	0.013402	0.010763	124.2	123.9	124.5	93.2	177.4
AG1000G-CM-A.Daiguene.2009.gambiae	AG1000G-CM-A	Cameroon	2009	Daiguene	gambiae	4.776999999999991	13.84400000000003	0.025645833333333316	0.002041666666666668	96	2R	96.0	45902569	0.011406	0.010763	516.3	512.5	520.0	340.7	1016.0
AG1000G-CM-A.Daiguene.2009.gambiae	AG1000G-CM-A	Cameroon	2009	Daiguene	gambiae	4.776999999999991	13.84400000000003	0.025645833333333316	0.002041666666666668	96	3L	96.0	45940900	0.011261	0.010763	666.3	660.2	672.6	393.8	1954.3
AG1000G-CM-A.Daiguene.2009.gambiae	AG1000G-CM-A	Cameroon	2009	Daiguene	gambiae	4.776999999999991	13.84400000000003	0.025645833333333316	0.002041666666666668	96	3R	96.0	45998435	0.011125	0.010763	919.5	908.0	931.2	514.3	3767.1
AG1000G-CM-A.Daiguene.2009.gambiae	AG1000G-CM-A	Cameroon	2009	Daiguene	gambiae	4.776999999999991	13.84400000000003	0.025645833333333316	0.002041666666666668	96	X	96.0	45224804	0.012136	0.010763	240.6	239.7	241.5	187.2	329.9
AG1000G-CM-A.GadoBadzere.2009.gambiae	AG1000G-CM-A	Cameroon	2009	GadoBadzere	gambiae	5.74700000000001	14.442000000000004	0.024410958904109582	0.0021095890410958917	73	2L	73.0	44448303	0.016859	0.014297	128.0	127.7	128.4	88.0	216.1
AG1000G-CM-A.GadoBadzere.2009.gambiae	AG1000G-CM-A	Cameroon	2009	GadoBadzere	gambiae	5.74700000000001	14.442000000000004	0.024410958904109582	0.0021095890410958917	73	2R	73.0	45596474	0.015145	0.014297	391.2	388.4	394.2	185.2	Infinite
AG1000G-CM-A.GadoBadzere.2009.gambiae	AG1000G-CM-A	Cameroon	2009	GadoBadzere	gambiae	5.74700000000001	14.442000000000004	0.024410958904109582	0.0021095890410958917	73	3L	73.0	46190464	0.014391	0.014297	3560.9	3350.5	3799.3	1004.5	Infinite
AG1000G-CM-A.GadoBadzere.2009.gambiae	AG1000G-CM-A	Cameroon	2009	GadoBadzere	gambiae	5.74700000000001	14.442000000000004	0.024410958904109582	0.0021095890410958917	73	3R	73.0	46334745	0.014453	0.014297	2143.2	2064.9	2227.6	666.0	Infinite
AG1000G-CM-A.GadoBadzere.2009.gambiae	AG1000G-CM-A	Cameroon	2009	GadoBadzere	gambiae	5.74700000000001	14.442000000000004	0.024410958904109582	0.0021095890410958917	73	X	73.0	45405682	0.015676	0.014297	239.7	238.6	240.9	168.2	399.7
AG1000G-CM-A.Mayos.2009.gambiae	AG1000G-CM-A	Cameroon	2009	Mayos	gambiae	4.3410000000000055	13.557999999999995	0.023436363636363602	0.0020818181818181834	110	2L	110.0	44826242	0.012444	0.009355	105.8	105.6	106.0	84.7	136.7
AG1000G-CM-A.Mayos.2009.gambiae	AG1000G-CM-A	Cameroon	2009	Mayos	gambiae	4.3410000000000055	13.557999999999995	0.023436363636363602	0.0020818181818181834	110	2R	110.0	45158252	0.012089	0.009355	119.8	119.6	120.0	91.5	165.7
AG1000G-CM-A.Mayos.2009.gambiae	AG1000G-CM-A	Cameroon	2009	Mayos	gambiae	4.3410000000000055	13.557999999999995	0.023436363636363602	0.0020818181818181834	110	3L	110.0	46008027	0.011600	0.009355	146.4	146.0	146.7	105.8	222.2
AG1000G-CM-A.Mayos.2009.gambiae	AG1000G-CM-A	Cameroon	2009	Mayos	gambiae	4.3410000000000055	13.557999999999995	0.023436363636363602	0.0020818181818181834	110	3R	110.0	45835523	0.011413	0.009355	159.8	159.5	160.2	118.2	234.9
AG1000G-CM-A.Mayos.2009.gambiae	AG1000G-CM-A	Cameroon	2009	Mayos	gambiae	4.3410000000000055	13.557999999999995	0.023436363636363602	0.0020818181818181834	110	X	110.0	44864126	0.013114	0.009355	86.5	86.4	86.7	65.7	119.7
AG1000G-CM-A.ZembeBorongo.2009.gambiae	AG1000G-CM-A	Cameroon	2009	ZembeBorongo	gambiae	5.747000000000001	14.442000000000005	0.022833333333333344	0.0020416666666666678	24	2L	24.0	46132813	0.049504	0.047300	138.0	136.8	139.3	87.1	310.0
